"link_origem","posicao","senioridade","titulo_vaga","nome_empresa","requisitos"
https://www.netvagas.com.br/empresa/anuncios/a1237275/engenheiro-a-de-dados-senior/?utm_id=indeed&utm_campaign=indeed&utm_source=indeed&utm_medium=referral,Engenheiro de Dados,Sênior,Engenheiro(a) de dados sênior,Netvagas,"Python, SQL, Azure, Airflow"
https://radixeng.gupy.io/job/eyJqb2JJZCI6ODE2MjgwMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Sênior,Profissional de Desenvolvimento Fullstack Sênior,Radix Engenharia e Software,"SQL, ETL, MLOps, SQL Server, Azure, Oracle, Docker, MongoDB, PostgreSQL, ElasticSearch"
https://enplan.vagas.solides.com.br/vaga/518292?origem=indeed,Engenheiro de Dados,Não Informado,Gerente de Suprimentos,ENPLAN-ENGENHARIA E CONSTRUTORA LTDA,Excel
https://www.capgemini.com/jobs/nnAdcJMB_1WPMhEhO_7w/1841933/,Engenheiro de Dados,Sênior,Desenvolvedor/ Desenvolvedora ServiceNow IRM,Capgemini,"ETL, AWS"
https://orthodontic.gupy.io/job/eyJqb2JJZCI6ODIwMDc5NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Pleno,Franqueadora - Desenvolvedor de Sistema PHP Pleno,ORTHODONTIC BRASIL,ETL
https://www.netvagas.com.br/empresa/anuncios/a1155223/analista-de-sistemas/?utm_id=indeed&utm_campaign=indeed&utm_source=indeed&utm_medium=referral,Engenheiro de Dados,Não Informado,Analista de Sistemas,Netvagas,SQL
https://www.capgemini.com/jobs/c3DTbpMB_1WPMhEhpv6K/1840950/,Engenheiro de Dados,Sênior,Desenvolvedor/ Desenvolvedora Low Cod JR,Capgemini,"ETL, AWS"
https://vagasgrupodpsp.99jobs.com/vagas/420873-analista-de-engenharia-de-software-senior-dev-front-end?source=indeed&ittk=NJK979GG7X,Engenheiro de Dados,Sênior,Analista de Engenharia de Software Sênior - DEV. FRONT-END,Grupo DPSP – Drogarias Pacheco São Paulo,Git
https://genteraizen.gupy.io/job/eyJqb2JJZCI6ODE3MDEwNiwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Pleno,Gestor(a) Processos Manutenção II - Etanol 2ª Geração,Raízen,Bash
https://telemont.gupy.io/job/eyJqb2JJZCI6ODEzNTkzNywic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Não Informado,SUPERVISOR ALMOXARIFADO (APARECIDA DE GOIÂNIA - GO),TELEMONT,Excel
https://grupoenergisa.gupy.io/job/eyJqb2JJZCI6ODIwMDIxOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Não Informado,COORDENADOR DE FACILITIES,Energisa,ETL
https://mjvcarreiras.gupy.io/job/eyJqb2JJZCI6ODE5NTg1MCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Não Informado,Pessoa Desenvolvedora Android,MJV Technology & Innovation,"ETL, Git, Bash"
https://vagas.jobii.com.br/vagas/1507?utm_source=indeed&utm_medium=site&utm_campaign=indeed_campaing&utm_id=indeed-2024&utm_term=pessoa-engenheira-de-observabilidade&utm_content=pessoa-engenheira-de-observabilidade,Engenheiro de Dados,Sênior,Pessoa Engenheira de Observabilidade Sênior,South System,"Python, ETL, AWS, Docker"
https://trinusco.gupy.io/job/eyJqb2JJZCI6ODE2ODEwOSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Não Informado,Especialista Financeiro,Trinus. Co,"Excel, ETL"
https://www.netvagas.com.br/empresa/anuncios/a1239024/7c1e-desenvolvedor-fullstack-python-iii/?utm_id=indeed&utm_campaign=indeed&utm_source=indeed&utm_medium=referral,Engenheiro de Dados,Sênior,"7c1e desenvolvedor fullstack python iii",Netvagas,"Python, SQL, Git"
https://vegamonitoramento.gupy.io/job/eyJqb2JJZCI6NzkxMDc3NSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Júnior,ESTÁGIO EM GEOPROCESSAMENTO,Vegamonitoramento,ETL
https://sicredi.gupy.io/job/eyJqb2JJZCI6ODIwMDczMSwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Não Informado,Desenvolvedor Python | Sede Regional Sicredi Campos Gerais | Ponta Grossa - PR,Sicredi,"Python, SQL, ETL, Git, Airflow"
https://vagasgrupodpsp.99jobs.com/vagas/420876-analista-de-engenharia-de-software-pleno-back-end-java?source=indeed&ittk=W0AEF3WTEX,Engenheiro de Dados,Sênior,Analista de Engenharia de Software Pleno - Back-end Java,Grupo DPSP – Drogarias Pacheco São Paulo,"AWS, MLOps, MongoDB"
https://www.netvagas.com.br/empresa/anuncios/a476009/analista-de-precificacao-i/?utm_id=indeed&utm_campaign=indeed&utm_source=indeed&utm_medium=referral,Engenheiro de Dados,Júnior,Analista de precificação i,Netvagas,"SAS, Linguagem R, Python, SQL, Machine Learning"
https://origoenergia.gupy.io/job/eyJqb2JJZCI6ODIwMzQzOCwic291cmNlIjoiZ3VweV9wb3J0YWwifQ==?jobBoardSource=gupy_portal,Engenheiro de Dados,Pleno,Especialista de Projetos FV,Órigo Energia,ETL
https://br.indeed.com/job/auxiliar-de-planejamento-ddb70c657dea8966?xpse=SoCp67I355ul-VybRp0LbzkdCdPP&xfps=78968d35-1ac5-4ae1-b84a-6c3e7bc0fed2,Engenheiro de Dados,Não Informado,Auxiliar de Planejamento,Demuner Marceneria,Excel
https://br.indeed.com/rc/gd/job?a=DYrfR50LbNwLbZCrTi-twXwFVDaBrQiiwhsUnPcYFQhQN6ebYt25tezvzZuxqUXcVJyfYCsO6rcNifSEYC_i3SbKrkUOU-EI5W0v36L6lPvVVtPZdc3IrnKqlorxmJ2-gEphcyuphoipfV_lxh1_e-e15e2i4Dl886CCG_s5vi6lIg6J61R4xCveKVj-yyoR8gRtWfWss5RNlWvKOjQLqHeNJLzO-HKxJin6H0u0w_uAoeMzYTYm89GFuxszzKtNnMCmWEImhElucYY3Lvene9XthGwOr70rYklhQXaXTsHo68qfK0-B1DXo6IULC4P7x9uKfIsl3V2ZMb-lLcBa0cqiDftxntnelkjEQpUF2NFRY-IYSV9h9M91zUgPGhdIqyVndF6ckrXMsYa_9oypSTD3ixPAJAZRwEwFzyepCxHDvD49sVj0jgzeduQkXnSOG37I5byY1-FVqW503p1PrTWEzalA1N73ARi0lryBUyMMqTk5z9ovoZoi_4XawWYQWzm78rj0pWkq0ISLmBsTRTQWDUSAD6Dwk5qL3oTDEmTImGRbF7T5zsJF-sHUdkujZwUT5xcc3sziZt8uBiU1u9ZF2rdJal4gWwCFLSUXz6uGJYdKHHDSHvIssFCfqE6qWgCd4xfDexI-gGVVXwvmsIhI3zgMUJPeEk8qAMMEvso83bdBQ8B-SV1ABGxqqtWcy6qo9zP5nMv6XcYUfFMv7VUNBAjZtiUHAAXvtfZOmEnEAl4Dl4op4ckZh2xNoxTniWetMv4bmozizNhxkbUmA9LLuH2rLMPbs10pSc5HIYFN0lnCmnnc0Br5nmedVoox5hWq7g6CRuOwB3G7cpnVUWCdFRly1nTGJs1VdPKbzmvG8bcKkey7qaLlG52UCXPmkZoetdfzc5xlbSquVOD7nid3aRNVyXrDG9IohFcFTUmXIISzJGOjMOTKIWFHxgU42iaCfuBq3WTxCNICyWUM-oCjZuO8fmKakqu_QRIssn82qTHTzPQxjZ1HwN2uvBgPMp2U9NpKeEY&org=1&channel=ns-dk-o-w-s_344-tld_9,Engenheiro de Dados,Sênior,Administrador/Administradora Tableau Sênior,Capgemini,"Power BI, Tableau, ETL, AWS"
